,Threshold,TPR,FPR
0,inf,0.0,0.0
1,1.0,0.08695652173913043,0.0
2,0.9999999999999978,0.0966183574879227,0.0
3,0.9999999999999951,0.1111111111111111,0.0
4,0.9999999999999938,0.11594202898550725,0.0
5,0.9999999999999929,0.12560386473429952,0.0
6,0.999999999999992,0.13043478260869565,0.0
7,0.9999999999999729,0.14009661835748793,0.0
8,0.9999999999999294,0.15458937198067632,0.0
9,0.9999999999999205,0.16908212560386474,0.0
10,0.999999999996906,0.2028985507246377,0.0
11,0.9999999999946216,0.21256038647342995,0.0
12,0.9999999988697152,0.27053140096618356,0.0
13,0.9999999983189474,0.28502415458937197,0.0
14,0.9999999969695446,0.2946859903381642,0.0
15,0.9999999912419937,0.3285024154589372,0.0
16,0.9999999894062296,0.33816425120772947,0.0
17,0.9999999795113952,0.34782608695652173,0.0
18,0.99999997026612,0.36231884057971014,0.0
19,0.9999996628412553,0.3961352657004831,0.0
20,0.9999995624628508,0.4057971014492754,0.0
21,0.9999993824398583,0.4106280193236715,0.0
22,0.9999992020140642,0.42028985507246375,0.0
23,0.9999986749571591,0.42995169082125606,0.0
24,0.9999981495504014,0.4492753623188406,0.0
25,0.9999967062423177,0.46859903381642515,0.0
26,0.9999961235028315,0.4830917874396135,0.0
27,0.9999931882337726,0.48792270531400966,0.0
28,0.9999926230157891,0.4975845410628019,0.0
29,0.9999795898841618,0.5072463768115942,0.0
30,0.9999779595157636,0.5169082125603864,0.0
31,0.9999530007632715,0.5362318840579711,0.0
32,0.9999412485564858,0.5458937198067633,0.0
33,0.9999367369744019,0.5507246376811594,0.0
34,0.9999266929078211,0.5603864734299517,0.0
35,0.9998487180923548,0.5700483091787439,0.0
36,0.9998255598372825,0.5797101449275363,0.0
37,0.9997686361870461,0.5942028985507246,0.0
38,0.9997338757444804,0.6038647342995169,0.0
39,0.9997146715991869,0.6086956521739131,0.0
40,0.9995684508180572,0.6183574879227053,0.0
41,0.9995054514690598,0.6231884057971014,0.0
42,0.9992084031452014,0.642512077294686,0.0
43,0.9990962191103813,0.6521739130434783,0.0
44,0.9984770909874614,0.6811594202898551,0.0
45,0.9980330653017597,0.6908212560386473,0.0
46,0.9973046718560182,0.7101449275362319,0.0
47,0.9955876646346415,0.7198067632850241,0.0
48,0.9950199438033116,0.7342995169082126,0.0
49,0.9947110077664342,0.7439613526570048,0.0
50,0.9943841569244927,0.7584541062801933,0.0
51,0.9924462985612877,0.7681159420289855,0.0
52,0.99100053929049,0.7874396135265701,0.0
53,0.9865690890522468,0.8019323671497585,0.0
54,0.9857921772472361,0.8115942028985508,0.0
55,0.9841127380771993,0.8164251207729468,0.0
56,0.9766984347569956,0.8454106280193237,0.0
57,0.9726508243354824,0.8599033816425121,0.0
58,0.9711669126229615,0.8695652173913043,0.0
59,0.9323944120626052,0.9082125603864735,0.0
60,0.9185311606671789,0.9178743961352657,0.0
61,0.8735911073208807,0.9420289855072463,0.0
62,0.8450148134502223,0.9516908212560387,0.0
63,0.7509288018970874,0.966183574879227,0.0
64,0.7425815693537107,0.9758454106280193,0.0
65,0.7167160056687514,0.9855072463768116,0.0
66,0.6897326318748445,0.9951690821256038,0.0
67,0.6712075526660015,1.0,0.0
68,0.6427587445599929,1.0,0.007751937984496124
69,0.594104016340928,1.0,0.023255813953488372
70,0.43901038632187855,1.0,0.06976744186046512
71,0.42073263559269763,1.0,0.08527131782945736
72,0.38544785447752083,1.0,0.10077519379844961
73,0.36850822216863005,1.0,0.12403100775193798
74,0.33616383583201515,1.0,0.13953488372093023
75,0.30598009463744047,1.0,0.15503875968992248
76,0.27139417058217324,1.0,0.17054263565891473
77,0.24030104525755938,1.0,0.1937984496124031
78,0.22881996252059386,1.0,0.20930232558139536
79,0.14756887955245848,1.0,0.2868217054263566
80,0.1440823486649951,1.0,0.3023255813953488
81,0.1310493875014661,1.0,0.32558139534883723
82,0.12217341307037566,1.0,0.34108527131782945
83,0.09323241558094869,1.0,0.3953488372093023
84,0.08202525269365843,1.0,0.4263565891472868
85,0.08033388300361011,1.0,0.43410852713178294
86,0.07708995025031376,1.0,0.46511627906976744
87,0.05989299812909933,1.0,0.4806201550387597
88,0.0577558013639017,1.0,0.49612403100775193
89,0.03650879251069868,1.0,0.5271317829457365
90,0.027385138670685667,1.0,1.0
